Beauchief & Greenhill,14399,39.0
Beighton,13884,28.0
Birley,12959,29.0
Broomhill & Sharrow Vale,15000,32.0
Burngreave,14085,37.0
City,7283,20.0
Crookes & Crosspool,13986,47.0
Darnall,13106,33.0
Dore & Totley,14697,47.0
East Ecclesfield,14303,33.0
Ecclesall,15780,49.0
Firth Park,14250,29.0
Fulwood,14059,43.0
Gleadless Valley,13822,30.0
Graves Park,13340,41.0
Hillsborough,14851,38.0
Manor Castle,13385,23.0
Mosborough,13598,30.0
Nether Edge & Sharrow,14561,47.0
Park & Arbourthorne,12894,27.0
Richmond,14673,26.4
Shiregreen & Brightside,13961,29.0
Southey,13880,28.0
Stannington,14536,39.0
Stocksbridge & Upper Don,14411,35.0
Walkley,15562,35.0
West Ecclesfield,14081,34.0
Woodhouse,13504,28.0
